Team,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,W_15,L_15,WIN%_15,OFFRTG,DEFRTG,NETRTG,W_Post,WIN%_Post
Memphis Grizzlies,58,34,24,0.586,2824.0,0.486,0.291,0.138,0.293,0.497,0.36,0.154,0.269,2016-17,16,9,7,0.563,111.1,107.9,3.2,9,0.375
Miami Heat,57,25,32,0.439,2751.0,0.506,0.251,0.141,0.278,0.497,0.276,0.139,0.282,2016-17,16,14,2,0.875,112.9,104.7,8.2,16,0.64
Milwaukee Bucks,55,25,30,0.455,2655.0,0.53,0.286,0.146,0.27,0.517,0.283,0.153,0.295,2016-17,17,5,12,0.294,109.2,113.8,-4.6,17,0.63
Minnesota Timberwolves,57,22,35,0.386,2751.0,0.511,0.286,0.148,0.304,0.53,0.28,0.148,0.286,2016-17,17,8,9,0.471,112.1,112.8,-0.7,9,0.36
New Orleans Pelicans,57,23,34,0.404,2771.0,0.501,0.256,0.13,0.226,0.505,0.234,0.137,0.272,2016-17,16,7,9,0.438,106.0,109.9,-3.9,11,0.44
New York Knicks,57,23,34,0.404,2771.0,0.5,0.237,0.144,0.314,0.508,0.28,0.131,0.302,2016-17,17,5,12,0.294,109.3,112.6,-3.3,8,0.32
Oklahoma City Thunder,57,32,25,0.561,2756.0,0.497,0.296,0.153,0.319,0.51,0.281,0.14,0.269,2016-17,16,8,8,0.5,105.2,110.1,-4.9,15,0.6
Orlando Magic,58,21,37,0.362,2799.0,0.49,0.242,0.139,0.266,0.519,0.259,0.136,0.277,2016-17,16,4,12,0.25,100.9,112.4,-11.5,8,0.333
Philadelphia 76ers,56,21,35,0.375,2708.0,0.499,0.261,0.168,0.27,0.512,0.298,0.154,0.286,2016-17,18,9,9,0.5,104.2,108.3,-4.1,7,0.269
Phoenix Suns,57,18,39,0.316,2761.0,0.492,0.297,0.155,0.303,0.529,0.335,0.152,0.28,2016-17,17,5,12,0.294,110.0,114.3,-4.3,6,0.24
Portland Trail Blazers,56,23,33,0.411,2723.0,0.512,0.27,0.139,0.266,0.512,0.32,0.131,0.284,2016-17,14,5,9,0.357,106.2,110.2,-4.0,18,0.692
Sacramento Kings,57,24,33,0.421,2766.0,0.512,0.298,0.152,0.269,0.531,0.306,0.153,0.268,2016-17,18,8,10,0.444,107.2,110.4,-3.2,8,0.32
San Antonio Spurs,56,43,13,0.768,2698.0,0.529,0.276,0.138,0.278,0.492,0.258,0.151,0.263,2016-17,16,12,4,0.75,108.8,101.3,7.5,18,0.692
Toronto Raptors,57,33,24,0.579,2751.0,0.518,0.297,0.127,0.288,0.514,0.29,0.157,0.294,2016-17,18,7,11,0.389,107.5,108.8,-1.4,18,0.72
Utah Jazz,57,35,22,0.614,2746.0,0.524,0.298,0.146,0.262,0.489,0.252,0.133,0.259,2016-17,15,9,6,0.6,109.8,104.4,5.4,16,0.64
Washington Wizards,55,34,21,0.618,2665.0,0.529,0.244,0.146,0.283,0.514,0.282,0.158,0.29,2016-17,16,14,2,0.875,115.5,105.0,10.4,15,0.556
Atlanta Hawks,59,18,41,0.305,2837.0,0.514,0.241,0.155,0.272,0.538,0.247,0.161,0.296,2017-18,17,7,10,0.412,106.4,110.2,-3.8,6,0.261
Boston Celtics,59,40,19,0.678,2847.0,0.514,0.24,0.143,0.26,0.488,0.261,0.146,0.265,2017-18,15,6,9,0.4,105.0,106.8,-1.8,15,0.652
Brooklyn Nets,59,19,40,0.322,2857.0,0.505,0.264,0.153,0.259,0.514,0.267,0.123,0.262,2017-18,16,3,13,0.188,105.9,113.4,-7.5,9,0.391
Charlotte Hornets,57,24,33,0.421,2751.0,0.497,0.309,0.129,0.276,0.528,0.218,0.142,0.231,2017-18,16,8,8,0.5,111.3,111.1,0.3,12,0.48
Chicago Bulls,57,20,37,0.351,2771.0,0.5,0.215,0.137,0.244,0.534,0.234,0.13,0.233,2017-18,14,4,10,0.286,105.1,110.7,-5.6,7,0.28
Cleveland Cavaliers,56,34,22,0.607,2698.0,0.547,0.279,0.143,0.236,0.542,0.219,0.137,0.272,2017-18,14,8,6,0.571,110.8,113.1,-2.3,16,0.615
Dallas Mavericks,58,18,40,0.31,2794.0,0.515,0.224,0.128,0.222,0.535,0.262,0.146,0.249,2017-18,14,3,11,0.214,106.2,109.8,-3.7,6,0.25
Denver Nuggets,58,32,26,0.552,2799.0,0.531,0.25,0.155,0.302,0.541,0.228,0.146,0.254,2017-18,15,10,5,0.667,114.4,112.5,1.9,14,0.583
Detroit Pistons,57,28,29,0.491,2741.0,0.512,0.228,0.14,0.27,0.526,0.224,0.155,0.256,2017-18,16,6,10,0.375,107.3,109.5,-2.2,11,0.44
Golden State Warriors,58,44,14,0.759,2794.0,0.579,0.246,0.157,0.252,0.498,0.25,0.141,0.288,2017-18,14,9,5,0.643,114.1,109.5,4.6,14,0.583
Houston Rockets,57,44,13,0.772,2746.0,0.555,0.304,0.14,0.252,0.529,0.237,0.148,0.237,2017-18,16,14,2,0.875,116.0,105.5,10.5,21,0.84
Indiana Pacers,58,33,25,0.569,2794.0,0.534,0.231,0.136,0.265,0.529,0.229,0.155,0.285,2017-18,16,11,5,0.688,110.6,107.4,3.2,15,0.625
LA Clippers,56,30,26,0.536,2693.0,0.524,0.295,0.148,0.273,0.512,0.268,0.147,0.284,2017-18,14,9,5,0.643,108.4,106.2,2.2,12,0.462
Los Angeles Lakers,57,23,34,0.404,2771.0,0.51,0.26,0.156,0.284,0.516,0.252,0.145,0.279,2017-18,15,8,7,0.533,109.5,110.2,-0.6,12,0.48
Memphis Grizzlies,56,18,38,0.321,2693.0,0.502,0.266,0.155,0.275,0.518,0.334,0.154,0.279,2017-18,15,5,10,0.333,104.9,109.9,-5.0,4,0.154
Miami Heat,58,30,28,0.517,2794.0,0.518,0.229,0.155,0.259,0.508,0.274,0.14,0.252,2017-18,17,6,11,0.353,104.3,105.1,-0.9,14,0.583
Milwaukee Bucks,57,32,25,0.561,2746.0,0.531,0.29,0.141,0.236,0.524,0.291,0.16,0.286,2017-18,16,10,6,0.625,105.7,104.0,1.8,12,0.48
Minnesota Timberwolves,61,36,25,0.59,2948.0,0.526,0.284,0.129,0.292,0.543,0.232,0.16,0.28,2017-18,17,8,9,0.471,115.5,114.9,0.5,11,0.524
New Orleans Pelicans,57,31,26,0.544,2781.0,0.544,0.256,0.15,0.239,0.522,0.228,0.144,0.271,2017-18,16,10,6,0.625,106.6,106.2,0.3,17,0.68
New York Knicks,59,23,36,0.39,2857.0,0.508,0.233,0.156,0.295,0.518,0.262,0.139,0.267,2017-18,17,4,13,0.235,104.3,110.5,-6.2,6,0.261
Oklahoma City Thunder,59,33,26,0.559,2852.0,0.513,0.268,0.144,0.324,0.524,0.26,0.165,0.274,2017-18,16,10,6,0.625,114.3,109.6,4.6,15,0.652
Orlando Magic,57,18,39,0.316,2741.0,0.52,0.245,0.148,0.254,0.528,0.244,0.143,0.29,2017-18,14,6,8,0.429,110.1,109.6,0.5,7,0.28
Philadelphia 76ers,55,30,25,0.545,2660.0,0.527,0.269,0.173,0.292,0.491,0.303,0.142,0.27,2017-18,16,11,5,0.688,109.0,102.2,6.8,22,0.815
Phoenix Suns,59,18,41,0.305,2837.0,0.493,0.282,0.155,0.278,0.532,0.282,0.132,0.28,2017-18,16,2,14,0.125,102.0,117.0,-14.9,3,0.13
Portland Trail Blazers,58,32,26,0.552,2799.0,0.513,0.239,0.144,0.277,0.505,0.255,0.129,0.26,2017-18,16,10,6,0.625,112.0,110.7,1.3,17,0.708
Sacramento Kings,57,18,39,0.316,2741.0,0.506,0.202,0.149,0.263,0.55,0.258,0.154,0.275,2017-18,15,5,10,0.333,104.9,110.4,-5.6,9,0.36
San Antonio Spurs,59,35,24,0.593,2832.0,0.51,0.237,0.143,0.277,0.505,0.222,0.145,0.253,2017-18,15,6,9,0.4,106.6,104.7,2.0,12,0.522
Toronto Raptors,57,41,16,0.719,2746.0,0.536,0.252,0.134,0.273,0.498,0.282,0.152,0.281,2017-18,16,12,4,0.75,112.5,102.5,10.0,18,0.72
Utah Jazz,58,30,28,0.517,2794.0,0.524,0.248,0.147,0.245,0.52,0.258,0.156,0.242,2017-18,16,13,3,0.813,112.7,103.6,9.2,18,0.75
Washington Wizards,57,33,24,0.579,2756.0,0.524,0.263,0.145,0.273,0.516,0.279,0.155,0.275,2017-18,14,8,6,0.571,110.4,110.4,0.0,10,0.4
Atlanta Hawks,58,19,39,0.328,2789.0,0.52,0.261,0.175,0.288,0.544,0.309,0.148,0.287,2018-19,16,6,10,0.375,112.0,117.3,-5.4,10,0.417
Boston Celtics,58,37,21,0.638,2804.0,0.537,0.213,0.13,0.266,0.508,0.268,0.154,0.27,2018-19,16,12,4,0.75,115.2,108.8,6.4,12,0.5
Brooklyn Nets,59,30,29,0.508,2882.0,0.521,0.283,0.149,0.289,0.52,0.248,0.131,0.278,2018-19,15,9,6,0.6,110.2,109.3,0.9,12,0.522
Charlotte Hornets,57,27,30,0.474,2761.0,0.514,0.26,0.124,0.271,0.533,0.23,0.136,0.265,2018-19,15,8,7,0.533,110.4,112.7,-2.4,12,0.48
Chicago Bulls,58,14,44,0.241,2804.0,0.505,0.231,0.147,0.235,0.534,0.248,0.138,0.278,2018-19,15,4,11,0.267,109.9,113.7,-3.8,8,0.333
Cleveland Cavaliers,58,12,46,0.207,2799.0,0.496,0.234,0.139,0.282,0.558,0.239,0.128,0.274,2018-19,15,4,11,0.267,104.7,114.0,-9.3,7,0.292
Dallas Mavericks,57,26,31,0.456,2746.0,0.52,0.301,0.153,0.287,0.518,0.241,0.137,0.266,2018-19,15,6,9,0.4,109.2,111.1,-1.9,7,0.28
Denver Nuggets,57,39,18,0.684,2746.0,0.533,0.235,0.136,0.315,0.525,0.259,0.139,0.255,2018-19,16,11,5,0.688,117.8,112.8,5.0,15,0.6
Detroit Pistons,56,26,30,0.464,2718.0,0.503,0.267,0.148,0.288,0.525,0.285,0.142,0.246,2018-19,15,8,7,0.533,108.2,106.6,1.6,15,0.577
Golden State Warriors,57,41,16,0.719,2756.0,0.563,0.241,0.136,0.268,0.512,0.266,0.131,0.272,2018-19,15,13,2,0.867,120.6,110.1,10.5,16,0.64
Houston Rockets,57,33,24,0.579,2761.0,0.536,0.293,0.139,0.28,0.534,0.285,0.15,0.308,2018-19,16,9,7,0.563,116.7,114.0,2.8,20,0.8
Indiana Pacers,58,38,20,0.655,2789.0,0.532,0.229,0.141,0.274,0.512,0.239,0.163,0.269,2018-19,16,10,6,0.625,109.4,104.1,5.3,10,0.417
LA Clippers,59,32,27,0.542,2857.0,0.527,0.327,0.142,0.263,0.511,0.285,0.125,0.282,2018-19,17,8,9,0.471,109.4,110.2,-0.8,16,0.696
Los Angeles Lakers,57,28,29,0.491,2756.0,0.531,0.261,0.152,0.271,0.511,0.238,0.135,0.275,2018-19,14,5,9,0.357,108.5,115.7,-7.1,9,0.36
Memphis Grizzlies,59,23,36,0.39,2857.0,0.506,0.265,0.146,0.234,0.519,0.299,0.161,0.277,2018-19,17,4,13,0.235,102.7,109.6,-6.9,10,0.435
Miami Heat,56,26,30,0.464,2693.0,0.512,0.253,0.155,0.298,0.508,0.262,0.14,0.266,2018-19,15,5,10,0.333,103.0,108.2,-5.2,13,0.5
Milwaukee Bucks,57,43,14,0.754,2746.0,0.552,0.249,0.138,0.248,0.5,0.226,0.136,0.242,2018-19,16,14,2,0.875,112.4,101.1,11.3,17,0.68
Minnesota Timberwolves,57,27,30,0.474,2751.0,0.507,0.27,0.131,0.304,0.531,0.251,0.149,0.29,2018-19,14,6,8,0.429,112.6,113.6,-1.0,9,0.36
New Orleans Pelicans,59,26,33,0.441,2832.0,0.533,0.271,0.139,0.287,0.529,0.257,0.128,0.271,2018-19,16,6,10,0.375,109.4,112.5,-3.1,7,0.304
New York Knicks,58,11,47,0.19,2804.0,0.485,0.268,0.135,0.272,0.536,0.267,0.139,0.29,2018-19,16,1,15,0.063,101.3,110.4,-9.1,6,0.25
Oklahoma City Thunder,57,37,20,0.649,2751.0,0.521,0.275,0.136,0.296,0.519,0.267,0.167,0.266,2018-19,15,11,4,0.733,116.5,111.7,4.8,12,0.48
Orlando Magic,59,27,32,0.458,2847.0,0.513,0.215,0.136,0.251,0.515,0.245,0.132,0.254,2018-19,17,9,8,0.529,112.6,106.4,6.1,15,0.652
Philadelphia 76ers,58,37,21,0.638,2809.0,0.54,0.321,0.15,0.273,0.509,0.269,0.13,0.263,2018-19,15,10,5,0.667,116.8,108.6,8.1,14,0.583
Phoenix Suns,59,11,48,0.186,2862.0,0.512,0.247,0.156,0.251,0.546,0.316,0.155,0.311,2018-19,15,0,15,0.0,103.7,119.4,-15.8,8,0.348
Portland Trail Blazers,57,34,23,0.596,2756.0,0.526,0.254,0.139,0.296,0.517,0.247,0.124,0.261,2018-19,14,8,6,0.571,118.0,112.2,5.8,19,0.76
Sacramento Kings,57,30,27,0.526,2741.0,0.527,0.241,0.135,0.264,0.527,0.275,0.159,0.298,2018-19,14,8,6,0.571,107.1,109.6,-2.5,9,0.36
San Antonio Spurs,59,33,26,0.559,2852.0,0.536,0.245,0.125,0.248,0.535,0.23,0.125,0.26,2018-19,15,8,7,0.533,112.8,117.3,-4.4,15,0.652
Toronto Raptors,59,43,16,0.729,2857.0,0.534,0.256,0.137,0.281,0.512,0.255,0.151,0.281,2018-19,15,11,4,0.733,114.4,108.8,5.6,15,0.652
Utah Jazz,57,32,25,0.561,2736.0,0.529,0.301,0.152,0.273,0.514,0.253,0.144,0.238,2018-19,13,9,4,0.692,112.4,107.6,4.9,18,0.72
Washington Wizards,58,24,34,0.414,2824.0,0.534,0.264,0.136,0.239,0.545,0.27,0.161,0.303,2018-19,15,6,9,0.4,112.4,114.1,-1.7,8,0.333
Atlanta Hawks,56,15,41,0.268,2713.0,0.512,0.257,0.159,0.265,0.541,0.302,0.147,0.294,2019-20,17,7,10,0.412,110.3,116.1,-5.9,5,0.455
Boston Celtics,54,38,16,0.704,2607.0,0.532,0.256,0.137,0.28,0.508,0.279,0.153,0.267,2019-20,17,12,5,0.706,114.7,108.2,6.5,10,0.556
Brooklyn Nets,53,25,28,0.472,2574.0,0.516,0.264,0.152,0.281,0.505,0.237,0.126,0.266,2019-20,16,8,8,0.5,111.1,107.7,3.4,10,0.526
Charlotte Hornets,54,18,36,0.333,2612.0,0.503,0.249,0.152,0.281,0.548,0.208,0.149,0.295,2019-20,13,3,10,0.231,103.5,113.3,-9.8,5,0.455
Chicago Bulls,55,19,36,0.345,2655.0,0.511,0.236,0.152,0.261,0.543,0.302,0.178,0.275,2019-20,15,5,10,0.333,106.9,113.5,-6.6,3,0.3
Cleveland Cavaliers,54,14,40,0.259,2607.0,0.517,0.22,0.165,0.297,0.56,0.215,0.128,0.261,2019-20,15,2,13,0.133,107.7,118.1,-10.4,5,0.455
Dallas Mavericks,55,33,22,0.6,2655.0,0.546,0.261,0.125,0.281,0.519,0.231,0.12,0.265,2019-20,16,9,7,0.563,119.0,115.2,3.8,10,0.5
Denver Nuggets,55,38,17,0.691,2670.0,0.526,0.233,0.135,0.299,0.522,0.254,0.145,0.271,2019-20,17,12,5,0.706,114.4,110.0,4.3,8,0.444
Detroit Pistons,57,19,38,0.333,2761.0,0.53,0.264,0.156,0.277,0.536,0.232,0.143,0.284,2019-20,17,5,12,0.294,108.4,110.6,-2.2,1,0.111
Golden State Warriors,55,12,43,0.218,2665.0,0.492,0.265,0.144,0.255,0.55,0.24,0.156,0.281,2019-20,15,3,12,0.2,106.4,115.9,-9.6,3,0.3
Houston Rockets,54,34,20,0.63,2602.0,0.535,0.291,0.139,0.264,0.529,0.249,0.15,0.278,2019-20,16,8,8,0.5,112.0,112.5,-0.5,10,0.556
Indiana Pacers,55,32,23,0.582,2660.0,0.535,0.215,0.129,0.245,0.513,0.249,0.145,0.281,2019-20,16,8,8,0.5,111.0,111.3,-0.3,13,0.722
LA Clippers,55,37,18,0.673,2655.0,0.529,0.289,0.145,0.284,0.504,0.275,0.139,0.267,2019-20,16,10,6,0.625,113.6,109.3,4.3,12,0.706
Los Angeles Lakers,53,41,12,0.774,2554.0,0.552,0.268,0.15,0.289,0.512,0.256,0.153,0.265,2019-20,14,9,5,0.643,115.3,110.8,4.5,11,0.611
Memphis Grizzlies,54,28,26,0.519,2597.0,0.533,0.228,0.146,0.262,0.523,0.277,0.142,0.273,2019-20,15,11,4,0.733,108.8,105.6,3.2,6,0.316
Miami Heat,54,35,19,0.648,2632.0,0.545,0.297,0.149,0.264,0.518,0.265,0.135,0.241,2019-20,16,8,8,0.5,114.6,112.6,2.0,9,0.474
Milwaukee Bucks,54,46,8,0.852,2597.0,0.556,0.268,0.139,0.244,0.485,0.218,0.134,0.228,2019-20,13,11,2,0.846,112.5,101.6,10.9,10,0.526
Minnesota Timberwolves,53,16,37,0.302,2584.0,0.509,0.277,0.148,0.27,0.533,0.276,0.148,0.269,2019-20,15,1,14,0.067,110.1,114.7,-4.7,3,0.273
New Orleans Pelicans,55,23,32,0.418,2665.0,0.537,0.25,0.153,0.283,0.531,0.272,0.137,0.27,2019-20,15,9,6,0.6,115.3,110.6,4.6,7,0.412
New York Knicks,55,17,38,0.309,2660.0,0.495,0.255,0.143,0.297,0.542,0.297,0.141,0.256,2019-20,16,7,9,0.438,105.7,109.8,-4.1,4,0.364
Oklahoma City Thunder,55,33,22,0.6,2660.0,0.533,0.288,0.136,0.242,0.52,0.208,0.14,0.27,2019-20,16,11,5,0.688,115.8,110.7,5.1,11,0.647
Orlando Magic,55,24,31,0.436,2645.0,0.494,0.249,0.129,0.265,0.527,0.217,0.152,0.255,2019-20,16,6,10,0.375,107.0,113.1,-6.1,9,0.5
Philadelphia 76ers,55,34,21,0.618,2650.0,0.528,0.253,0.146,0.277,0.515,0.285,0.142,0.242,2019-20,15,9,6,0.6,106.7,107.3,-0.5,9,0.5
Phoenix Suns,55,22,33,0.4,2655.0,0.525,0.273,0.144,0.257,0.539,0.282,0.156,0.272,2019-20,17,7,10,0.412,109.7,110.4,-0.8,12,0.667
Portland Trail Blazers,56,25,31,0.446,2698.0,0.525,0.238,0.126,0.263,0.52,0.267,0.124,0.292,2019-20,16,9,7,0.563,116.4,116.8,-0.3,10,0.556
Sacramento Kings,54,21,33,0.389,2622.0,0.527,0.222,0.148,0.26,0.541,0.274,0.152,0.27,2019-20,15,6,9,0.4,112.1,115.2,-3.1,10,0.556
San Antonio Spurs,54,23,31,0.426,2622.0,0.53,0.256,0.123,0.235,0.539,0.245,0.124,0.249,2019-20,17,7,10,0.412,112.8,114.7,-1.9,9,0.529
Toronto Raptors,55,40,15,0.727,2660.0,0.537,0.249,0.142,0.26,0.503,0.257,0.168,0.29,2019-20,17,15,2,0.882,116.4,107.7,8.6,13,0.765
Utah Jazz,54,36,18,0.667,2597.0,0.552,0.267,0.151,0.259,0.51,0.237,0.122,0.249,2019-20,16,10,6,0.625,117.3,111.8,5.5,8,0.444
Washington Wizards,53,20,33,0.377,2554.0,0.529,0.262,0.134,0.263,0.554,0.292,0.15,0.295,2019-20,15,7,8,0.467,112.8,115.3,-2.6,5,0.263
Atlanta Hawks,36,16,20,0.444,1738.0,0.526,0.291,0.144,0.3,0.528,0.252,0.124,0.265,2020-21,16,6,10,0.375,115.2,117.4,-2.2,25,0.694
Boston Celtics,36,19,17,0.528,1733.0,0.537,0.259,0.143,0.299,0.54,0.272,0.144,0.264,2020-21,17,8,9,0.471,113.6,115.1,-1.4,17,0.472
Brooklyn Nets,37,24,13,0.649,1801.0,0.588,0.255,0.14,0.247,0.536,0.225,0.122,0.269,2020-21,14,10,4,0.714,120.0,114.7,5.3,24,0.686
Charlotte Hornets,35,17,18,0.486,1685.0,0.543,0.236,0.153,0.279,0.558,0.227,0.156,0.275,2020-21,14,7,7,0.5,114.4,114.8,-0.4,16,0.432
Chicago Bulls,34,16,18,0.471,1647.0,0.559,0.222,0.155,0.257,0.54,0.277,0.135,0.243,2020-21,15,8,7,0.533,113.5,111.2,2.3,15,0.395
Cleveland Cavaliers,36,14,22,0.389,1753.0,0.509,0.251,0.162,0.299,0.557,0.244,0.154,0.268,2020-21,15,4,11,0.267,106.2,118.6,-12.4,8,0.222
Dallas Mavericks,34,18,16,0.529,1637.0,0.54,0.264,0.124,0.231,0.54,0.266,0.135,0.271,2020-21,13,10,3,0.769,117.8,115.4,2.4,24,0.632
Denver Nuggets,36,21,15,0.583,1753.0,0.563,0.225,0.137,0.284,0.543,0.262,0.145,0.26,2020-21,16,9,7,0.563,117.4,111.5,5.9,26,0.722
Detroit Pistons,36,10,26,0.278,1758.0,0.514,0.268,0.147,0.275,0.549,0.268,0.15,0.28,2020-21,15,5,10,0.333,109.8,112.8,-3.0,10,0.278
Golden State Warriors,37,19,18,0.514,1781.0,0.541,0.248,0.143,0.222,0.517,0.287,0.152,0.279,2020-21,16,8,8,0.5,110.6,108.4,2.2,20,0.571
Houston Rockets,34,11,23,0.324,1637.0,0.514,0.257,0.145,0.227,0.535,0.27,0.153,0.285,2020-21,15,1,14,0.067,100.4,115.1,-14.7,6,0.158
Indiana Pacers,35,16,19,0.457,1700.0,0.541,0.235,0.136,0.245,0.538,0.253,0.153,0.279,2020-21,14,4,10,0.286,108.5,112.4,-3.9,18,0.486
LA Clippers,38,24,14,0.632,1824.0,0.568,0.23,0.135,0.264,0.534,0.233,0.13,0.25,2020-21,16,8,8,0.5,116.8,114.1,2.6,23,0.676
Los Angeles Lakers,37,24,13,0.649,1801.0,0.543,0.262,0.151,0.271,0.519,0.216,0.146,0.253,2020-21,15,8,7,0.533,109.5,108.1,1.4,18,0.514
Memphis Grizzlies,32,16,16,0.5,1541.0,0.523,0.216,0.136,0.289,0.548,0.257,0.165,0.253,2020-21,16,7,9,0.438,111.8,111.3,0.4,22,0.55
Miami Heat,36,18,18,0.5,1743.0,0.539,0.264,0.158,0.237,0.532,0.235,0.154,0.273,2020-21,16,11,5,0.688,110.1,106.7,3.4,22,0.611
Milwaukee Bucks,36,22,14,0.611,1728.0,0.564,0.237,0.134,0.275,0.532,0.204,0.126,0.25,2020-21,16,10,6,0.625,115.1,110.9,4.2,24,0.667
Minnesota Timberwolves,36,7,29,0.194,1743.0,0.503,0.214,0.143,0.265,0.544,0.277,0.148,0.293,2020-21,16,2,14,0.125,106.5,114.7,-8.1,16,0.444
New Orleans Pelicans,36,15,21,0.417,1738.0,0.549,0.286,0.139,0.305,0.564,0.23,0.132,0.249,2020-21,17,8,9,0.471,122.4,120.5,1.9,16,0.444
New York Knicks,37,19,18,0.514,1776.0,0.516,0.25,0.143,0.28,0.506,0.269,0.123,0.255,2020-21,15,10,5,0.667,112.0,108.1,3.9,22,0.629
Oklahoma City Thunder,36,15,21,0.417,1743.0,0.52,0.234,0.143,0.215,0.531,0.206,0.133,0.256,2020-21,17,7,10,0.412,103.2,106.0,-2.8,7,0.194
Orlando Magic,36,13,23,0.361,1733.0,0.497,0.219,0.13,0.254,0.548,0.216,0.132,0.238,2020-21,14,5,9,0.357,106.9,113.0,-6.1,8,0.222
Philadelphia 76ers,36,24,12,0.667,1743.0,0.539,0.316,0.152,0.286,0.522,0.249,0.147,0.264,2020-21,15,9,6,0.6,112.9,111.1,1.8,25,0.694
Phoenix Suns,35,24,11,0.686,1700.0,0.56,0.21,0.131,0.241,0.522,0.254,0.133,0.249,2020-21,16,13,3,0.813,120.5,109.3,11.2,27,0.73
Portland Trail Blazers,35,21,14,0.6,1685.0,0.534,0.228,0.117,0.272,0.546,0.262,0.127,0.278,2020-21,15,10,5,0.667,117.0,115.4,1.6,21,0.568
Sacramento Kings,36,14,22,0.389,1733.0,0.549,0.261,0.135,0.275,0.568,0.245,0.13,0.281,2020-21,16,5,11,0.313,115.7,121.1,-5.4,17,0.472
San Antonio Spurs,32,18,14,0.563,1546.0,0.517,0.229,0.111,0.236,0.537,0.216,0.137,0.255,2020-21,11,7,4,0.636,110.5,107.8,2.7,15,0.375
Toronto Raptors,36,17,19,0.472,1728.0,0.541,0.246,0.138,0.262,0.542,0.304,0.163,0.286,2020-21,15,8,7,0.533,115.9,114.8,1.2,10,0.278
Utah Jazz,36,27,9,0.75,1733.0,0.564,0.245,0.142,0.292,0.509,0.213,0.116,0.246,2020-21,15,11,4,0.733,119.2,109.0,10.1,25,0.694
Washington Wizards,34,14,20,0.412,1637.0,0.522,0.303,0.136,0.245,0.549,0.288,0.144,0.267,2020-21,17,10,7,0.588,107.8,110.6,-2.8,20,0.526
